name,firmware_variable,min_val,max_val,unit,firmware_type,printf_format,type_cast,xmit_scale,python_variable_override,python_type,python_globals,python_init,should_generate
ivlv 24,ivlv[24],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 25,ivlv[25],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 26,ivlv[26],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 27,ivlv[27],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 28,ivlv[28],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 29,ivlv[29],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 30,ivlv[30],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
ivlv 31,ivlv[31],0,20,Amps,float,%.1f,uint8_t,10,,float,,,n
evlv 0,evlv[0],0,15,Volts,float,%.1f,uint8_t,10,vlv0.e,float,,,n
evlv 1,evlv[1],0,15,Volts,float,%.1f,uint8_t,10,vlv1.e,float,,,n
evlv 2,evlv[2],0,15,Volts,float,%.1f,uint8_t,10,vlv2.e,float,,,n
evlv 3,evlv[3],0,15,Volts,float,%.1f,uint8_t,10,vlv3.e,float,,,n
evlv 4,evlv[4],0,15,Volts,float,%.1f,uint8_t,10,vlv4.e,float,,,n
evlv 5,evlv[5],0,15,Volts,float,%.1f,uint8_t,10,vlv5.e,float,,,n
evlv 6,evlv[6],0,15,Volts,float,%.1f,uint8_t,10,vlv6.e,float,,,n
evlv 7,evlv[7],0,15,Volts,float,%.1f,uint8_t,10,vlv7.e,float,,,n
evlv 8,evlv[8],0,15,Volts,float,%.1f,uint8_t,10,vlv8.e,float,,,n
evlv 9,evlv[9],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 10,evlv[10],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 11,evlv[11],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 12,evlv[12],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 13,evlv[13],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 14,evlv[14],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 15,evlv[15],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 16,evlv[16],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 17,evlv[17],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 18,evlv[18],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 19,evlv[19],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 20,evlv[20],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 21,evlv[21],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 22,evlv[22],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 23,evlv[23],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 24,evlv[24],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 25,evlv[25],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 26,evlv[26],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 27,evlv[27],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 28,evlv[28],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 29,evlv[29],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 30,evlv[30],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
evlv 31,evlv[31],0,15,Volts,float,%.1f,uint8_t,10,,float,,,n
E 3V,e3v,0,5,Volts,float,%.2f,int32_t,100,,float,,,n
E 5V,e5v,0,5,Volts,float,%.2f,int32_t,100,,float,,,n
E 28V,e28v,0,30,Volts,float,%.3f,int16_t,100,,float,,,n
I 5V,i5v,0,2,Amps,float,%.1f,uint8_t,100,,float,,,n
I 3V,i3v,0,2,Amps,float,%.1f,uint8_t,100,,float,,,n
Last Command ID,last_command_id,,,ul,uint8_t,%d,uint16_t,1,,float,,,n
tc 0,tc[0],,,K,float,%d,uint16_t,100,,float,,,n
tc 1,tc[1],,,K,float,%d,uint16_t,100,,float,,,n
tc 2,tc[2],,,K,float,%d,uint16_t,100,,float,,,n
tc 3,tc[3],,,K,float,%d,uint16_t,100,,float,,,n
tc 4,tc[4],,,K,float,%d,uint16_t,100,,float,,,n
tc 5,tc[5],,,K,float,%d,uint16_t,100,,float,,,n
tc 6,tc[6],,,K,float,%d,uint16_t,100,,float,,,n
tc 7,tc[7],,,K,float,%d,uint16_t,100,,float,,,n
tc 8,tc[8],,,K,float,%d,uint16_t,100,,float,,,n
tc 9,tc[9],,,K,float,%d,uint16_t,100,,float,,,n
tc 10,tc[10],,,K,float,%d,uint16_t,100,,float,,,n
tc 11,tc[11],,,K,float,%d,uint16_t,100,,float,,,n
tc 12,tc[12],,,K,float,%d,uint16_t,100,,float,,,n
tc 13,tc[13],,,K,float,%d,uint16_t,100,,float,,,n
tc 14,tc[14],,,K,float,%d,uint16_t,100,,float,,,n
tc 15,tc[15],,,K,float,%d,uint16_t,100,,float,,,n
rtd 0,rtd[0],,,K,float,%d,uint16_t,100,,float,,,n
rtd 1,rtd[1],,,K,float,%d,uint16_t,100,,float,,,n
rtd 2,rtd[2],,,K,float,%d,uint16_t,100,,float,,,n
rtd 3,rtd[3],,,K,float,%d,uint16_t,100,,float,,,n
rtd 4,rtd[4],,,K,float,%d,uint16_t,100,,float,,,n
rtd 5,rtd[5],,,K,float,%d,uint16_t,100,,float,,,n
rtd 6,rtd[6],,,K,float,%d,uint16_t,100,,float,,,n
rtd 7,rtd[7],,,K,float,%d,uint16_t,100,,float,,,n
I Mtr 0A,i_mtr_ab[0],,,Amps,float,%d,uint16_t,100,mtr0.ia,float,,,n
I Mtr 0B,i_mtr_ab[1],,,Amps,float,%d,uint16_t,100,mtr0.ib,float,,,n
I Mtr 1A,i_mtr_ab[2],,,Amps,float,%d,uint16_t,100,mtr1.ia,float,,,n
I Mtr 1B,i_mtr_ab[3],,,Amps,float,%d,uint16_t,100,mtr1.ib,float,,,n
I Mtr 2A,i_mtr_ab[4],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 2B,i_mtr_ab[5],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 3A,i_mtr_ab[6],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 3B,i_mtr_ab[7],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 0,i_mtr[0],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 1,i_mtr[1],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 2,i_mtr[2],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 3,i_mtr[3],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 4,i_mtr[4],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 5,i_mtr[5],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 6,i_mtr[6],,,Amps,float,%d,uint16_t,100,,float,,,n
I Mtr 7,i_mtr[7],,,Amps,float,%d,uint16_t,100,,float,,,n
mtr 0 pos,mtr_pos[0],,,deg,float,%d,int16_t,10,mtr0.pos,float,,,n
mtr 1 pos,mtr_pos[1],,,deg,float,%d,int16_t,10,mtr1.pos,float,,,n
mtr 2 pos,mtr_pos[2],,,deg,float,%d,int16_t,10,mtr2.pos,float,,,n
mtr 3 pos,mtr_pos[3],,,deg,float,%d,int16_t,10,mtr3.pos,float,,,n
mtr 0 vel,mtr_vel[0],,,step/s,int16_t,%d,int16_t,1,mtr0.vel,int,,,n
mtr 1 vel,mtr_vel[1],,,step/s,int16_t,%d,int16_t,1,mtr1.vel,int,,,n
mtr 2 vel,mtr_vel[2],,,step/s,int16_t,%d,int16_t,1,mtr2.vel,int,,,n
mtr 3 vel,mtr_vel[3],,,step/s,int16_t,%d,int16_t,1,mtr3.vel,int,,,n
mtr 0 setpoint,mtr_set[0],,,deg,float,%d,int16_t,10,mtr0.set,float,,,n
mtr 1 setpoint,mtr_set[1],,,deg,float,%d,int16_t,10,mtr1.set,float,,,n
mtr 0 Ki,mtr_ki[0],,,ul,float,%d,uint16_t,100,mtr0.i,float,,,n
mtr 1 Ki,mtr_ki[1],,,ul,float,%d,uint16_t,100,mtr1.i,float,,,n
mtr 0 Kd,mtr_kd[0],,,ul,float,%d,uint16_t,100,mtr0.d,float,,,n
mtr 1 Kd,mtr_kd[1],,,ul,float,%d,uint16_t,100,mtr1.d,float,,,n
mtr 0 Kp,mtr_kp[0],,,ul,float,%d,uint16_t,100,mtr0.p,float,,,n
mtr 1 Kp,mtr_kp[1],,,ul,float,%d,uint16_t,100,mtr1.p,float,,,n
mtr 0 Kp error,mtr_kp_err[0],,,ul,float,%d,int16_t,100,mtr0.kp_err,float,,,n
mtr 1 Kp error,mtr_kp_err[1],,,ul,float,%d,int16_t,100,mtr1.kp_err,float,,,n
mtr 0 Ki error,mtr_ki_err[0],,,ul,float,%d,int16_t,100,mtr0.ki_err,float,,,n
mtr 1 Ki error,mtr_ki_err[1],,,ul,float,%d,int16_t,100,mtr1.ki_err,float,,,n
mtr 0 Kd error,mtr_kd_err[0],,,ul,float,%d,int16_t,100,mtr0.kd_err,float,,,n
mtr 1 Kd error,mtr_kd_err[1],,,ul,float,%d,int16_t,100,mtr1.kd_err,float,,,n
tank 0 target pressure,tank_tar_pres[0],-100,3000,psi,float,%.1f,int16_t,10,,float,,,n
tank 1 target pressure,tank_tar_pres[1],-100,3000,psi,float,%.1f,int16_t,10,,float,,,n
tank 0 high pressure,tank_high_pres[0],-100,3000,psi,float,%.1f,int16_t,10,,float,,,n
tank 1 high pressure,tank_high_pres[1],-100,3000,psi,float,%.1f,int16_t,10,,float,,,n
tank 0 lower pressure,tank_low_pres[0],-100,3000,psi,float,%.1f,int16_t,10,,float,,,n
tank 1 lower pressure,tank_low_pres[1],-100,3000,psi,float,%.1f,int16_t,10,,float,,,n
pot 0,epot[0],,,deg,float,%d,int16_t,1000,,float,,,n
pot 1,epot[1],,,deg,float,%d,int16_t,1000,,float,,,n
pot 2,epot[2],,,deg,float,%d,int16_t,1000,,float,,,n
pot 3,epot[3],,,deg,float,%d,int16_t,1000,,float,,,n
pot 4,epot[4],,,deg,float,%d,int16_t,1000,,float,,,n
pot 5,epot[5],,,deg,float,%d,int16_t,1000,,float,,,n
pot 6,epot[6],,,deg,float,%d,int16_t,1000,,float,,,n
pot 7,epot[7],,,deg,float,%d,int16_t,1000,,float,,,n
Elapsed Test Duration,elapsed_test_duration,,,ms,uint32_t,%i,uint32_t,1,,int,,,n
Micros,micros,,,us,uint64_t,%i,uint64_t,1,,int,micros,,n
Telem Rate,telem_rate,,,Hz,uint32_t,%i,uint32_t,1,,int,,,n
ADC Rate,adc_rate,,,Hz,uint32_t,%i,uint32_t,1,,int,,,n
Flash Memory,flash_mem,,,bytes,uint32_t,%i,uint32_t,1,,int,,,n
Own Board Addr,own_board_addr,3,3,ul,uint8_t,%i,uint8_t,1,,int,,,n
